rn,seqtab.match,rd_post_merge,rd_no_off,study,kelp_species,extraction_kit,wild_or_farmed,kelp_age_days,kelp_lifestage,id,sample_target,location,region,date_sampled,year_sampled,month_sampled,day_sampled,spore_release_date,library,treatment,diseased_tank,pink_health,remove_duplicate,area_swabbed,dual_swab,keep_dual_swab,with_kelp,sample_type,notes,tank_id,cycle_number,extra_DMSO_2percent_VbyV
cs-plate4-well4B-_-4,cs-plate4-well4B-_-4,1571,1479,cascadia,seawater,qiagen,farmed,20,Nursery,,seawater,Farm 1,BC,2021-11-24,2021,11,24,2021-11-04,original,control,pink_symptomatic,pink_healthy,n,whole_area,5,y,yes,,,5,25,no
cs-plate4-well2B-_-4,cs-plate4-well2B-_-4,32854,32193,cascadia,seawater,qiagen,farmed,27,Nursery,,seawater,Farm 1,BC,2021-10-13,2021,10,13,2021-09-16,original,control,pink_symptomatic,seawater,n,,,y,yes,,,e1,35,no
cs-plate4-well2C-_-4,cs-plate4-well2C-_-4,57537,56236,cascadia,seawater,qiagen,farmed,27,Nursery,,seawater,Farm 1,BC,2021-10-13,2021,10,13,2021-09-16,original,control,pink_symptomatic,seawater,n,,,y,yes,,,e1,35,no
cs-plate4-well6B-_-4,cs-plate4-well6B-_-4,19805,19805,cascadia,seawater,qiagen,farmed,1,Nursery,,seawater,Farm 1,BC,2021-10-15,2021,10,15,2021-10-14,original,litorimonas,no,,n,,,,yes,,,,35,yes
cs-plate4-well6A-_-4,cs-plate4-well6A-_-4,19688,19688,cascadia,seawater,qiagen,farmed,1,Nursery,,seawater,Farm 1,BC,2021-10-15,2021,10,15,2021-10-14,original,maribacter,no,,n,,,,yes,,,,35,yes
cs-plate4-well5H-_-4,cs-plate4-well5H-_-4,145778,145778,cascadia,seawater,qiagen,farmed,1,Nursery,,seawater,Farm 1,BC,2021-10-15,2021,10,15,2021-10-14,original,sulfitobacter,no,,n,,,,yes,,,,,
cs-plate4-well4D-_-4,cs-plate4-well4D-_-4,3648,3555,cascadia,Saccharina latissima,qiagen,farmed,20,Nursery,,spool,Farm 1,BC,2021-11-24,2021,11,24,2021-11-04,original,control,pink_asymptomatic,pink_healthy,n,healthy,8,y,yes,,,6,25,no
cs-plate4-well5C-_-4,cs-plate4-well5C-_-4,40467,33942,cascadia,Saccharina latissima,qiagen,farmed,20,Nursery,,spool,Farm 1,BC,2021-11-24,2021,11,24,2021-11-04,original,control,pink_asymptomatic,pink_healthy,n,healthy,9,y,yes,,,11,25,no
cs-plate4-well5D-_-4,cs-plate4-well5D-_-4,23248,17329,cascadia,Saccharina latissima,qiagen,farmed,20,Nursery,,spool,Farm 1,BC,2021-11-24,2021,11,24,2021-11-04,original,control,pink_asymptomatic,pink_healthy,n,healthy,10,y,yes,,,12,25,no
cs-plate4-well5G-_-4,cs-plate4-well5G-_-4,113469,63920,cascadia,Saccharina latissima,qiagen,farmed,20,Nursery,,spool,Farm 1,BC,2021-11-24,2021,11,24,2021-11-04,original,control,pink_asymptomatic,pink_healthy,n,healthy,11,y,yes,,,13,35,yes
cs-plate4-well2F-_-4,cs-plate4-well2F-_-4,25822,21552,cascadia,Saccharina latissima,qiagen,farmed,27,Nursery,,spool,Farm 1,BC,2021-10-13,2021,10,13,2021-09-16,original,control,pink_asymptomatic,pink_healthy,n,healthy,4,y,yes,,,2,35,no
